rule,priority_score,recommended_phase,in_upstream,registered_locally,local_go_rule_dir_exists,has_go_test,missing_js_files,js_errs_local,js_errs_upstream,js_lines_local,js_lines_upstream,js_outputs_local,js_outputs_upstream,js_suggestions_local,js_suggestions_upstream,js_skip_delta,go_skip_count,todo_fixme_count,flags,upstream_rule_file,local_go_impl_files,local_go_test_files,local_js_test_files
no-misused-new,0,aligned,True,True,True,True,,9,6,223,167,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-misused-new.ts,internal/plugins/typescript/rules/no_misused_new/no_misused_new.go,internal/plugins/typescript/rules/no_misused_new/no_misused_new_test.go,no-misused-new.test.ts
no-mixed-enums,0,aligned,True,True,True,True,,21,21,653,645,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-mixed-enums.ts,internal/plugins/typescript/rules/no_mixed_enums/no_mixed_enums.go,internal/plugins/typescript/rules/no_mixed_enums/no_mixed_enums_test.go,no-mixed-enums.test.ts
no-namespace,0,aligned,True,True,True,True,,32,32,562,563,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-namespace.ts,internal/plugins/typescript/rules/no_namespace/no_namespace.go,internal/plugins/typescript/rules/no_namespace/no_namespace_test.go,no-namespace.test.ts
no-non-null-asserted-nullish-coalescing,0,aligned,True,True,True,True,,15,15,327,328,15,15,15,15,0,0,0,,packages/eslint-plugin/src/rules/no-non-null-asserted-nullish-coalescing.ts,internal/plugins/typescript/rules/no_non_null_asserted_nullish_coalescing/no_non_null_asserted_nullish_coalescing.go,internal/plugins/typescript/rules/no_non_null_asserted_nullish_coalescing/no_non_null_asserted_nullish_coalescing_test.go,no-non-null-asserted-nullish-coalescing.test.ts
no-non-null-asserted-optional-chain,0,aligned,True,True,True,True,,10,10,161,162,10,10,10,10,0,0,0,,packages/eslint-plugin/src/rules/no-non-null-asserted-optional-chain.ts,internal/plugins/typescript/rules/no_non_null_asserted_optional_chain/no_non_null_asserted_optional_chain.go,internal/plugins/typescript/rules/no_non_null_asserted_optional_chain/no_non_null_asserted_optional_chain_test.go,no-non-null-asserted-optional-chain.test.ts
no-redeclare,0,aligned,True,True,True,True,,31,31,675,655,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-redeclare.ts,internal/plugins/typescript/rules/no_redeclare/no_redeclare.go,internal/plugins/typescript/rules/no_redeclare/no_redeclare_test.go,no-redeclare.test.ts
no-redundant-type-constituents,0,aligned,True,True,True,True,,49,49,856,848,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-redundant-type-constituents.ts,internal/plugins/typescript/rules/no_redundant_type_constituents/no_redundant_type_constituents.go,internal/plugins/typescript/rules/no_redundant_type_constituents/no_redundant_type_constituents_test.go,no-redundant-type-constituents.test.ts
no-require-imports,0,aligned,True,True,True,True,,22,22,367,368,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-require-imports.ts,internal/plugins/typescript/rules/no_require_imports/no_require_imports.go,internal/plugins/typescript/rules/no_require_imports/no_require_imports_test.go,no-require-imports.test.ts
no-restricted-imports,0,aligned,True,True,True,True,,27,29,874,887,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-restricted-imports.ts,internal/plugins/typescript/rules/no_restricted_imports/no_restricted_imports.go,internal/plugins/typescript/rules/no_restricted_imports/no_restricted_imports_test.go,no-restricted-imports.test.ts
no-shadow,0,aligned,True,True,True,True,,93,93,2887,2807,0,0,0,0,0,0,0,,packages/eslint-plugin/src/rules/no-shadow.ts,internal/plugins/typescript/rules/no_shadow/no_shadow.go,internal/plugins/typescript/rules/no_shadow/no_shadow_test.go,no-shadow/no-shadow-eslint.test.ts|no-shadow/no-shadow.test.ts
